Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1961","1961","","144.52","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1962","1962","","154.49","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1963","1963","","174.42","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1964","1964","","119.6","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1965","1965","","104.65","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1966","1966","","84.72","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1967","1967","","79.73","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1968","1968","","99.67","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1969","1969","","109.63","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1970","1970","","99.67","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1971","1971","","64.78","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1972","1972","","45.35","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1973","1973","","59.3","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1974","1974","","49.83","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1975","1975","","51.33","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1976","1976","","53.82","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1977","1977","","48.84","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1978","1978","","50.33","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1979","1979","","49.83","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1980","1980","","44.35","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1981","1981","","32.39","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1982","1982","","44.85","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1983","1983","","51.58","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1984","1984","","68.23","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1985","1985","","54.62","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1986","1986","","48.84","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1987","1987","","51.83","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1988","1988","","51.83","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1989","1989","","58.31","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1990","1990","","52.82","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1991","1991","","51.33","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1992","1992","","40.37","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1993","1993","","40.37","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1994","1994","","57.31","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1995","1995","","58.8","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1996","1996","","57.31","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1997","1997","","48.34","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1998","1998","","39.87","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","1999","1999","","64.78","E","Estimated value"
"QI","Production Indices","372","Ireland","432","Gross Production Index Number (2014-2016 = 100)","01341","Apples","2000","2000","","53.82","E","Estimated value"
